task,task_label,task_short_label,task_domain,workflow,direction,train_size,source_size,target_size,source_mean,target_mean,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
heloc,FICO HELOC,HELOC,credit risk,risk,higher,6147,1536,2776,0.43636626327114997,0.8493233843577782,unweighted,0.22023725276042527,0.0001,1.0,1536.0,2776.0,1.0,1.0
heloc,FICO HELOC,HELOC,credit risk,risk,higher,6147,1536,2776,0.43636626327114997,0.8493233843577782,source,0.11996522483023428,0.0001,1.0,368.75001093919917,2775.9999999999995,5.003687710609011,0.9999999999999999
heloc,FICO HELOC,HELOC,credit risk,risk,higher,6147,1536,2776,0.43636626327114997,0.8493233843577782,target,0.172073646485143,0.0001,1.0,1536.0,454.95690900675294,1.0,8.72314615771855
heloc,FICO HELOC,HELOC,credit risk,risk,higher,6147,1536,2776,0.43636626327114997,0.8493233843577782,both,0.07791028434732017,0.8162,0.0,368.75001093919917,454.95690900675294,5.003687710609011,8.72314615771855
heloc,FICO HELOC,HELOC,credit risk,risk,higher,6147,1536,2776,0.43636626327114997,0.8493233843577782,crump,0.0992805945945029,0.0476,1.0,228.0,269.0,1.0,1.0
heloc,FICO HELOC,HELOC,credit risk,risk,higher,6147,1536,2776,0.43636626327114997,0.8493233843577782,overlap,0.10784403260211481,0.0016,1.0,295.81825686945945,396.71346344712947,7.795149565100909,10.639728932249326
heloc,FICO HELOC,HELOC,credit risk,confidence,lower,6147,1536,2776,3.493420440542786,5.157124863220193,unweighted,0.038124083334174295,1.0,0.0,1536.0,2776.0,1.0,1.0
heloc,FICO HELOC,HELOC,credit risk,confidence,lower,6147,1536,2776,3.493420440542786,5.157124863220193,source,0.047383774694630655,1.0,0.0,368.75001093919917,2775.9999999999995,5.003687710609011,0.9999999999999999
heloc,FICO HELOC,HELOC,credit risk,confidence,lower,6147,1536,2776,3.493420440542786,5.157124863220193,target,0.07998882084850827,0.7287,0.0,1536.0,454.95690900675294,1.0,8.72314615771855
heloc,FICO HELOC,HELOC,credit risk,confidence,lower,6147,1536,2776,3.493420440542786,5.157124863220193,both,0.09115232054067501,0.17,0.0,368.75001093919917,454.95690900675294,5.003687710609011,8.72314615771855
heloc,FICO HELOC,HELOC,credit risk,confidence,lower,6147,1536,2776,3.493420440542786,5.157124863220193,crump,0.07598827949349013,0.8385,0.0,228.0,269.0,1.0,1.0
heloc,FICO HELOC,HELOC,credit risk,confidence,lower,6147,1536,2776,3.493420440542786,5.157124863220193,overlap,0.06942645265133622,0.9784,0.0,295.81825686945945,396.71346344712947,7.795149565100909,10.639728932249326
heloc,FICO HELOC,HELOC,credit risk,error,higher,6147,1536,2776,0.22436832808920457,0.2034034911233061,unweighted,0.07302348155405841,0.9999,0.0,1536.0,2776.0,1.0,1.0
heloc,FICO HELOC,HELOC,credit risk,error,higher,6147,1536,2776,0.22436832808920457,0.2034034911233061,source,0.07047353802132293,1.0,0.0,368.75001093919917,2775.9999999999995,5.003687710609011,0.9999999999999999
heloc,FICO HELOC,HELOC,credit risk,error,higher,6147,1536,2776,0.22436832808920457,0.2034034911233061,target,0.07054576825946617,0.9897,0.0,1536.0,454.95690900675294,1.0,8.72314615771855
heloc,FICO HELOC,HELOC,credit risk,error,higher,6147,1536,2776,0.22436832808920457,0.2034034911233061,both,0.06986297085627179,0.9849,0.0,368.75001093919917,454.95690900675294,5.003687710609011,8.72314615771855
heloc,FICO HELOC,HELOC,credit risk,error,higher,6147,1536,2776,0.22436832808920457,0.2034034911233061,crump,0.0631411784023086,0.9956,0.0,228.0,269.0,1.0,1.0
heloc,FICO HELOC,HELOC,credit risk,error,higher,6147,1536,2776,0.22436832808920457,0.2034034911233061,overlap,0.06373483954413312,0.9984,0.0,295.81825686945945,396.71346344712947,7.795149565100909,10.639728932249326
