run,off_support_fraction,effect,p_unweighted,s_unweighted,auc_logreg,p_logreg/source/0.25,ds_logreg/source/0.25,ess_src_logreg/source/0.25,ess_tgt_logreg/source/0.25,p_logreg/source/0.5,ds_logreg/source/0.5,ess_src_logreg/source/0.5,ess_tgt_logreg/source/0.5,p_logreg/source/0.75,ds_logreg/source/0.75,ess_src_logreg/source/0.75,ess_tgt_logreg/source/0.75,p_logreg/target/0.25,ds_logreg/target/0.25,ess_src_logreg/target/0.25,ess_tgt_logreg/target/0.25,p_logreg/target/0.5,ds_logreg/target/0.5,ess_src_logreg/target/0.5,ess_tgt_logreg/target/0.5,p_logreg/target/0.75,ds_logreg/target/0.75,ess_src_logreg/target/0.75,ess_tgt_logreg/target/0.75,p_logreg/both/0.25,ds_logreg/both/0.25,ess_src_logreg/both/0.25,ess_tgt_logreg/both/0.25,p_logreg/both/0.5,ds_logreg/both/0.5,ess_src_logreg/both/0.5,ess_tgt_logreg/both/0.5,p_logreg/both/0.75,ds_logreg/both/0.75,ess_src_logreg/both/0.75,ess_tgt_logreg/both/0.75,auc_rf_cal,p_rf_cal/source/0.25,ds_rf_cal/source/0.25,ess_src_rf_cal/source/0.25,ess_tgt_rf_cal/source/0.25,p_rf_cal/source/0.5,ds_rf_cal/source/0.5,ess_src_rf_cal/source/0.5,ess_tgt_rf_cal/source/0.5,p_rf_cal/source/0.75,ds_rf_cal/source/0.75,ess_src_rf_cal/source/0.75,ess_tgt_rf_cal/source/0.75,p_rf_cal/target/0.25,ds_rf_cal/target/0.25,ess_src_rf_cal/target/0.25,ess_tgt_rf_cal/target/0.25,p_rf_cal/target/0.5,ds_rf_cal/target/0.5,ess_src_rf_cal/target/0.5,ess_tgt_rf_cal/target/0.5,p_rf_cal/target/0.75,ds_rf_cal/target/0.75,ess_src_rf_cal/target/0.75,ess_tgt_rf_cal/target/0.75,p_rf_cal/both/0.25,ds_rf_cal/both/0.25,ess_src_rf_cal/both/0.25,ess_tgt_rf_cal/both/0.25,p_rf_cal/both/0.5,ds_rf_cal/both/0.5,ess_src_rf_cal/both/0.5,ess_tgt_rf_cal/both/0.5,p_rf_cal/both/0.75,ds_rf_cal/both/0.75,ess_src_rf_cal/both/0.75,ess_tgt_rf_cal/both/0.75,auc_hgb_cal,p_hgb_cal/source/0.25,ds_hgb_cal/source/0.25,ess_src_hgb_cal/source/0.25,ess_tgt_hgb_cal/source/0.25,p_hgb_cal/source/0.5,ds_hgb_cal/source/0.5,ess_src_hgb_cal/source/0.5,ess_tgt_hgb_cal/source/0.5,p_hgb_cal/source/0.75,ds_hgb_cal/source/0.75,ess_src_hgb_cal/source/0.75,ess_tgt_hgb_cal/source/0.75,p_hgb_cal/target/0.25,ds_hgb_cal/target/0.25,ess_src_hgb_cal/target/0.25,ess_tgt_hgb_cal/target/0.25,p_hgb_cal/target/0.5,ds_hgb_cal/target/0.5,ess_src_hgb_cal/target/0.5,ess_tgt_hgb_cal/target/0.5,p_hgb_cal/target/0.75,ds_hgb_cal/target/0.75,ess_src_hgb_cal/target/0.75,ess_tgt_hgb_cal/target/0.75,p_hgb_cal/both/0.25,ds_hgb_cal/both/0.25,ess_src_hgb_cal/both/0.25,ess_tgt_hgb_cal/both/0.25,p_hgb_cal/both/0.5,ds_hgb_cal/both/0.5,ess_src_hgb_cal/both/0.5,ess_tgt_hgb_cal/both/0.5,p_hgb_cal/both/0.75,ds_hgb_cal/both/0.75,ess_src_hgb_cal/both/0.75,ess_tgt_hgb_cal/both/0.75
0,0.0,0.0,0.57,0.8109661756099832,0.3941666666666666,0.514,0.1491935598582257,179.71989349707195,180.0,0.528,0.1104239896936503,179.8761848132028,180.0,0.549,0.054155770046905,179.96907217480913,180.0,0.499,0.1919221037148434,180.0,179.61468931719315,0.522,0.1269121124822193,180.0,179.83315939976296,0.559,0.0281136362089136,180.0,179.95896475615118,0.429,0.4099842715525582,179.71989349707195,179.61468931719315,0.471,0.2752348594393207,179.8761848132028,179.83315939976296,0.52,0.1324502960236493,179.96907217480913,179.95896475615118,0.5180401234567902,0.63,-0.1443899093351749,176.9938129954142,180.0,0.608,-0.0931094043914816,178.67416819030177,180.0,0.579,-0.0226014289371326,179.66689771437325,180.0,0.537,0.0860398310666911,180.0,177.56723369324175,0.55,0.0515303006400817,180.0,178.9370695225734,0.565,0.0127110517495538,180.0,179.7362725662139,0.578,-0.0201075734485748,176.9938129954142,177.56723369324175,0.571,-0.0025288263107388,178.67416819030177,178.9370695225734,0.573,-0.0075732197048008,179.66689771437325,179.7362725662139,0.5172222222222222,0.643,-0.1738568182758435,176.09486826576793,180.0,0.623,-0.128270243971898,178.27732336776197,180.0,0.597,-0.0667690122127011,179.55753518805307,180.0,0.532,0.0995356735509142,180.0,176.30333032344336,0.548,0.056786026091577,180.0,178.45335621705766,0.564,0.0152667566533104,180.0,179.62423555329235,0.584,-0.0350064498279132,176.09486826576793,176.30333032344336,0.581,-0.0275762443524248,178.27732336776197,178.45335621705766,0.575,-0.0126000367796336,179.55753518805307,179.62423555329235
1,0.0,0.0,0.894,0.1616532634787692,0.4999074074074073,0.746,0.26109920092808,178.66094934037528,180.0,0.795,0.1693199710115999,179.43183140307607,180.0,0.843,0.0847422002412355,179.8627094160726,180.0,0.785,0.1875821774043284,180.0,179.0294944755194,0.823,0.1193824007616921,180.0,179.56228004855663,0.87,0.0392594304472271,180.0,179.88761449611485,0.589,0.6020071973528571,178.66094934037528,179.0294944755194,0.709,0.3344892039438017,179.43183140307607,179.56228004855663,0.803,0.1548748436660032,179.8627094160726,179.88761449611485,0.5081944444444444,0.903,-0.0144511562975404,179.25332213962392,180.0,0.9,-0.0096501700337193,179.6717828888491,180.0,0.896,-0.0032239008742863,179.91855390185418,180.0,0.893,0.0016146560620948,180.0,179.20740504592732,0.895,-0.001612850968301,180.0,179.64173574988257,0.895,-0.001612850968301,180.0,179.9085918966426,0.897,-0.0048331537359434,179.25332213962392,179.20740504592732,0.898,-0.0064406135578292,179.6717828888491,179.64173574988257,0.896,-0.0032239008742863,179.91855390185418,179.9085918966426,0.4983487654320988,0.87,0.0392594304472271,177.64068577855545,180.0,0.879,0.0244116660399137,178.93074759830552,180.0,0.882,0.0194961756257971,179.72292411673303,180.0,0.869,0.0409186543689176,180.0,178.0278164145334,0.884,0.0162284617918861,180.0,179.10560245286436,0.892,0.003231121263013,180.0,179.76816492568096,0.836,0.096771889102435,177.64068577855545,178.0278164145334,0.853,0.0677290898650276,178.93074759830552,179.10560245286436,0.874,0.0326415516827194,179.72292411673303,179.76816492568096
2,0.0,0.0,0.929,0.106249498279434,0.3925308641975309,0.925,0.0062252309789784,179.79170633219155,180.0,0.926,0.0046664031224165,179.9072249375194,180.0,0.924,0.0077857449665953,179.9766890661271,180.0,0.924,0.0077857449665953,180.0,179.83747737740836,0.928,0.0015537912550807,180.0,179.92890792796015,0.933,-0.0061984844691058,180.0,179.9824784259652,0.917,0.0187568627875985,179.79170633219155,179.83747737740836,0.92,0.0140447354382776,179.9072249375194,179.92890792796015,0.923,0.0093479487368786,179.9766890661271,179.9824784259652,0.5353240740740741,0.92,0.0140447354382776,178.90468821782193,180.0,0.923,0.0093479487368786,179.51032114039916,180.0,0.926,0.0046664031224165,179.87622676422174,180.0,0.952,-0.0352829769252904,180.0,179.04123547857566,0.947,-0.0276858290857319,180.0,179.5674434412687,0.94,-0.0169821601823466,180.0,179.8897161425568,0.94,-0.0169821601823466,178.90468821782193,179.04123547857566,0.937,-0.0123704512765339,179.51032114039916,179.5674434412687,0.934,-0.007743953327009,179.87622676422174,179.8897161425568,0.4918827160493827,0.931,-0.0031025711761408,178.96536933143906,180.0,0.93,-0.0015521196127408,179.52425988504825,180.0,0.929,0.0,179.8749141245171,180.0,0.944,-0.0231082629791882,180.0,178.99896295314997,0.941,-0.0185161263458837,180.0,179.56812907379512,0.937,-0.0123704512765339,180.0,179.89388522141238,0.948,-0.029208462515606,178.96536933143906,178.99896295314997,0.939,-0.0154465612711214,179.52425988504825,179.56812907379512,0.933,-0.0061984844691058,179.8749141245171,179.89388522141238
3,0.0,0.0,0.858,0.2209504471625414,0.4640432098765432,0.811,0.0812757332822724,179.61128948492643,180.0,0.829,0.0496055460037952,179.8292102770737,180.0,0.849,0.0152130939465071,179.95734301549157,180.0,0.803,0.095577659982231,180.0,179.66152337664772,0.829,0.0496055460037952,180.0,179.85190366382213,0.849,0.0152130939465071,180.0,179.96339361295966,0.731,0.2311062415471082,179.61128948492643,179.66152337664772,0.78,0.1375035237499348,179.8292102770737,179.85190366382213,0.824,0.0583333103163272,179.95734301549157,179.96339361295966,0.5463117283950617,0.842,0.0271574144331495,176.83647945419156,180.0,0.85,0.0135148064744815,178.571703437538,180.0,0.854,0.0067415778790552,179.6328034069141,180.0,0.878,-0.0332432920358126,180.0,177.2495945635315,0.876,-0.0299532221016278,180.0,178.8372940123924,0.87,-0.020037753236545,180.0,179.7208006901703,0.857,0.0016824433870457,176.83647945419156,177.2495945635315,0.856,0.0033668510983986,178.571703437538,178.8372940123924,0.854,0.0067415778790552,179.6328034069141,179.7208006901703,0.483966049382716,0.841,0.0288718472444013,179.1444606639729,180.0,0.85,0.0135148064744815,179.61829114892646,180.0,0.853,0.0084319061812554,179.90267038566128,180.0,0.856,0.0033668510983986,180.0,179.3794223290893,0.859,-0.0016804836389179,180.0,179.73133849082416,0.86,-0.0033590120899147,180.0,179.93423018744878,0.836,0.0374747054186628,179.1444606639729,179.3794223290893,0.844,0.0237346487923604,179.61829114892646,179.73133849082416,0.853,0.0084319061812554,179.90267038566128,179.93423018744878
4,0.0,0.0,0.932,0.1015981400078067,0.4353086419753087,0.912,0.0312961304895385,179.73954099712893,180.0,0.922,0.0155632042249422,179.8894840024359,180.0,0.929,0.0046513582716273,179.97345762851404,180.0,0.931,0.0015487870954865,180.0,179.82575998432978,0.932,0.0,180.0,179.92478990998646,0.934,-0.0030925950553816,180.0,179.98166896439713,0.907,0.0392274041257578,179.73954099712893,179.82575998432978,0.918,0.0218358012404722,179.8894840024359,179.92478990998646,0.928,0.0062051495267081,179.97345762851404,179.98166896439713,0.4733487654320987,0.934,-0.0030925950553816,179.65957594072987,180.0,0.932,0.0,179.85007254433157,180.0,0.932,0.0,179.96274832826109,180.0,0.934,-0.0030925950553816,180.0,179.70267362618915,0.935,-0.0046364101207187,180.0,179.86770327318882,0.936,-0.0061785749291242,180.0,179.96680407528183,0.934,-0.0030925950553816,179.65957594072987,179.70267362618915,0.931,0.0015487870954865,179.85007254433157,179.86770327318882,0.931,0.0015487870954865,179.96274832826109,179.96680407528183,0.4477006172839506,0.934,-0.0030925950553816,179.4447944371619,180.0,0.932,0.0,179.75911052228344,180.0,0.933,-0.0015471261974784,179.9407923814235,180.0,0.934,-0.0030925950553816,180.0,179.15678163337603,0.934,-0.0030925950553816,180.0,179.62296443690772,0.935,-0.0046364101207187,180.0,179.90461225739642,0.935,-0.0046364101207187,179.4447944371619,179.15678163337603,0.933,-0.0015471261974784,179.75911052228344,179.62296443690772,0.933,-0.0015471261974784,179.9407923814235,179.90461225739642
5,0.0,0.0,0.215,2.217591435072627,0.5407407407407407,0.536,-1.3178963408683124,177.9882011691361,180.0,0.406,-0.9171430675957162,179.1237409305321,180.0,0.303,-0.4949811338834906,179.78238718388656,180.0,0.458,-1.0910109385074838,180.0,177.8006372387513,0.37,-0.783188610926852,180.0,179.0347879952789,0.297,-0.4661262712113057,180.0,179.75807411425103,0.755,-1.812139984622981,177.9882011691361,177.8006372387513,0.594,-1.4661262712113057,179.1237409305321,179.0347879952789,0.379,-0.8178611885816316,179.78238718388656,179.75807411425103,0.4200308641975309,0.21,0.0339473319233376,179.3603466199933,180.0,0.209,0.0408337175085775,179.72386730212412,180.0,0.209,0.0408337175085775,179.9325981603385,180.0,0.217,-0.013358382855019,180.0,179.3855785774833,0.218,-0.0199914751874663,180.0,179.7275208581724,0.221,-0.0397097098019716,180.0,179.93151167471916,0.202,0.0899813668376654,179.3603466199933,179.3855785774833,0.206,0.061692322406242,179.72386730212412,179.7275208581724,0.21,0.0339473319233376,179.9325981603385,179.93151167471916,0.4389351851851852,0.218,-0.0199914751874663,179.42556783622118,180.0,0.219,-0.0265942100117131,179.74038154759674,180.0,0.217,-0.013358382855019,179.93371119003385,180.0,0.22,-0.0331668639351994,180.0,179.57280855307826,0.223,-0.0527070503308446,180.0,179.81193352059458,0.225,-0.0655883416275768,180.0,179.9532056728402,0.217,-0.013358382855019,179.42556783622118,179.57280855307826,0.219,-0.0265942100117131,179.74038154759674,179.81193352059458,0.214,0.0067258631883131,179.93371119003385,179.9532056728402
6,0.0,0.0,0.009,6.795859283219775,0.5475925925925926,0.08,-3.15200309344505,176.74481165429023,180.0,0.042,-2.2223924213364485,178.58768789185962,180.0,0.022,-1.2895066171949852,179.64803565604925,180.0,0.061,-2.7608123361205736,180.0,177.3912571151928,0.034,-1.917537839808027,180.0,178.86307683111428,0.019,-1.078002512001273,180.0,179.7150632576147,0.311,-5.11084576868829,176.74481165429023,177.3912571151928,0.107,-3.571541984958835,178.58768789185962,178.86307683111428,0.035,-1.9593580155026544,179.64803565604925,179.7150632576147,0.507608024691358,0.017,-0.917537839808027,175.99788045676615,180.0,0.012,-0.4150374992788439,178.24337715562925,180.0,0.01,-0.1520030934450504,179.55672505348065,180.0,0.013,-0.5305147166987796,180.0,176.3655960411619,0.012,-0.4150374992788439,180.0,178.37810102954973,0.012,-0.4150374992788439,180.0,179.5838206285568,0.023,-1.353636954614701,175.99788045676615,176.3655960411619,0.017,-0.917537839808027,178.24337715562925,178.37810102954973,0.012,-0.4150374992788439,179.55672505348065,179.5838206285568,0.4549691358024691,0.012,-0.4150374992788439,178.33078082547038,180.0,0.012,-0.4150374992788439,179.2592743875491,180.0,0.011,-0.2895066171949851,179.81030774818382,180.0,0.017,-0.917537839808027,180.0,178.63969258864918,0.014,-0.6374299206152916,180.0,179.41704398001946,0.012,-0.4150374992788439,180.0,179.85738562453903,0.023,-1.353636954614701,178.33078082547038,178.63969258864918,0.015,-0.7369655941662066,179.2592743875491,179.41704398001946,0.012,-0.4150374992788439,179.81030774818382,179.85738562453903
7,0.0,0.0,0.093,3.4266254735540556,0.4987962962962963,0.181,-0.9606870759751738,178.65434535651272,180.0,0.149,-0.6800097093541302,179.40474753775288,180.0,0.113,-0.2810201513071564,179.8496753577409,180.0,0.224,-1.2681961109495727,180.0,178.67201350544866,0.168,-0.8531586116707288,180.0,179.4195263694622,0.128,-0.4608411888919685,180.0,179.85488675033324,0.342,-1.8786937037778664,178.65434535651272,178.67201350544866,0.246,-1.4033556942312084,179.40474753775288,179.4195263694622,0.154,-0.72762772958687,179.8496753577409,179.85488675033324,0.5270987654320988,0.092,0.0155968550510188,177.81502734755458,180.0,0.093,0.0,179.044290577418,180.0,0.093,0.0,179.76341947887465,180.0,0.117,-0.3312059084753729,180.0,177.94701127180434,0.111,-0.2552570552420743,180.0,179.07791764078638,0.103,-0.1473417160751866,180.0,179.76530994750598,0.114,-0.2937312030567103,177.81502734755458,177.94701127180434,0.106,-0.1887616434551677,179.044290577418,179.07791764078638,0.1,-0.1046973786666933,179.76341947887465,179.76530994750598,0.5207407407407407,0.103,-0.1473417160751866,178.99637091361032,180.0,0.098,-0.0755510330071769,179.5673903870349,180.0,0.093,0.0,179.89377234929486,180.0,0.122,-0.3915785264548548,180.0,178.60710181943068,0.11,-0.242200902416628,180.0,179.3953828183831,0.107,-0.2023081752931155,180.0,179.84975402424442,0.124,-0.4150374992788439,178.99637091361032,178.60710181943068,0.11,-0.242200902416628,179.5673903870349,179.3953828183831,0.104,-0.1612809070330607,179.89377234929486,179.84975402424442
8,0.0,0.0,0.53,0.9159357352115256,0.3905555555555556,0.536,-0.016240641007211,179.82168418303615,180.0,0.534,-0.0108473822369924,179.92204397984108,180.0,0.53,0.0,179.98079268653865,180.0,0.535,-0.0135465318379478,180.0,179.83169845375187,0.539,-0.024292913301944,180.0,179.9253995837335,0.54,-0.0269670476002694,180.0,179.98135041281773,0.53,0.0,179.82168418303615,179.83169845375187,0.531,-0.0027195013535921,179.92204397984108,179.9253995837335,0.53,0.0,179.98079268653865,179.98135041281773,0.5444753086419752,0.48,0.142957953842043,176.61222214453727,180.0,0.493,0.10440471307265,178.49089288538426,180.0,0.507,0.064006612447221,179.61610527466885,180.0,0.582,-0.1350267934577221,180.0,176.44477487165608,0.564,-0.0897028029482318,180.0,178.42742437896558,0.553,-0.0612871207841455,180.0,179.60218319728116,0.528,0.0054544300921079,176.61222214453727,176.44477487165608,0.526,0.0109295601582591,178.49089288538426,178.42742437896558,0.525,0.0136749368970765,179.61610527466885,179.60218319728116,0.573858024691358,0.492,0.1073340441113216,175.52703538658034,180.0,0.503,0.0754339596450344,177.942737678567,180.0,0.515,0.0414199273799807,179.43088701979755,180.0,0.539,-0.024292913301944,180.0,175.21675591545215,0.54,-0.0269670476002694,180.0,178.12329534270611,0.544,-0.0376142917997779,180.0,179.55404298840247,0.494,0.1014813178658838,175.52703538658034,175.21675591545215,0.51,0.0554951125917035,177.942737678567,178.12329534270611,0.515,0.0414199273799807,179.43088701979755,179.55404298840247
9,0.0,0.0,0.28,1.8365012677171204,0.502253086419753,0.43,-0.6189098326444937,179.176177534467,180.0,0.377,-0.4291376963236977,179.63691403374213,180.0,0.321,-0.1971464701773364,179.9093025340015,180.0,0.501,-0.8393837762502417,180.0,179.1020842255598,0.426,-0.6054266032808715,180.0,179.59622388012093,0.359,-0.3585570168780847,180.0,179.89725989311404,0.64,-1.1926450779423958,179.176177534467,179.1020842255598,0.523,-0.9013841193019748,179.63691403374213,179.59622388012093,0.393,-0.4891024853136398,179.9093025340015,179.89725989311404,0.5499845679012346,0.321,-0.1971464701773364,177.50520931124626,180.0,0.305,-0.123382415505282,178.8669112819732,180.0,0.296,-0.0801703486839831,179.7092391510335,180.0,0.329,-0.2326607567902749,180.0,177.87329176682664,0.314,-0.1653377319466604,180.0,179.05592192330667,0.303,-0.1138909665279841,180.0,179.7629309885347,0.362,-0.3705628701382386,177.50520931124626,177.87329176682664,0.336,-0.2630344058337936,178.8669112819732,179.05592192330667,0.304,-0.1186444964986188,179.7092391510335,179.7629309885347,0.4855864197530864,0.292,-0.0605415419350505,179.1350016433771,180.0,0.288,-0.0406419844973455,179.62101732729425,180.0,0.284,-0.0204641025597152,179.90607222444672,180.0,0.328,-0.2282689876731172,180.0,179.29588240592062,0.312,-0.1561192019172816,180.0,179.6878593658827,0.303,-0.1138909665279841,180.0,179.92173452819424,0.327,-0.2238638085531159,179.1350016433771,179.29588240592062,0.309,-0.142180010959408,179.62101732729425,179.6878593658827,0.294,-0.0703893278913976,179.90607222444672,179.92173452819424
